Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
30087,750583,090.0 060.0,20-0211NM-PR-319-1810-09000600-0075A-7,75,11.03,32.968,5.54,25.19,88.5,241.3371,,7,2.0,,3.0,,9.0,,,,0.31,,0.21,,0.98,,6.8,,0.1,,8.6,,,9.0,,,9.0,,,9.0,0.02,2.0,,1.5,1.0,,,0.01,75.0,11.03,11.02,32.968,25.19,278.4,0.24,5.54,88.5,6.8,0.98,8.6,0.1,,0.31,0.21,75,,,,,,,,
15717,414026,073.3 053.0,19-6901JD-HY-020-1006-07330530-0020A-7,20,12.55,33.341,6.0,25.197,99.3,261.3741,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,0.55,,5.6,,0.12,,2.7,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,12.55,12.55,33.341,25.19,276.6,,6.0,99.3,5.6,0.55,2.7,0.12,,,,20,,,,,,,,
32565,817321,063.3 052.0,20-1101NM-MX-035-0259-06330520-0030A-3,30,11.32,33.357,5.91,25.44,95.3,257.3925,5.0,3,2.0,,3.0,,,,,,11.38,,0.64,,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,11.32,11.32,33.357,25.44,253.6,0.078,5.91,95.3,,,,,,11.38,0.64,30,205.0,,,,,,,
24418,596743,072.0 051.0,19-8603NM-HY-076-1201-07200510-0076A-3,76,10.38,33.644,3.77,25.83,59.6,164.1288,,3,2.0,,3.0,,,,,,0.05,,0.18,,1.51,,19.0,,0.03,,18.7,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,76.0,10.38,10.37,33.644,25.83,217.5,0.2,3.77,59.6,19.0,1.51,18.7,0.03,,0.05,0.18,76,,,,,,,,
22481,552533,090.0 028.0,19-8311EB-HY-309-0022-09000280-0000B-3,0,21.44,33.413,5.51,23.168,108.5,240.5046,,3,2.0,,3.0,,9.0,,,,0.17,,0.12,,0.22,,1.0,,0.0,,0.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,21.44,21.44,33.413,23.16,469.4,0.0,5.51,108.5,1.0,0.22,0.0,0.0,,0.17,0.12,0,,,,,,,,
33537,842638,080.0 090.0,20-1404OS-PR-104-1707-08000900-0042A-3,42,14.563,33.3982,5.913,24.83447,102.02,257.6754,19.0,3,2.0,,3.0,,,,,,0.546,,0.212,,0.39,,3.27,,0.076,,0.1,,0.15,,,,9.0,,,9.0,,,9.0,,,9.0,,,42.0,14.56,14.56,33.398,24.834,311.9,0.131,5.91,102.0,3.3,0.39,0.1,0.08,0.15,0.55,0.21,42,19.0,,,,,,,
31647,793200,083.3 090.0,20-0801JD-MX-022-1242-08330900-0300A-7,300,8.61,34.21,1.12,26.568,17.1,48.72468,,7,2.0,6.0,3.0,6.0,9.0,,,,,9.0,,9.0,2.61,,43.1,,0.0,,32.3,,0.0,,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,8.61,8.58,34.21,26.566,151.8,0.681,1.12,17.1,43.1,2.61,32.3,0.0,0.0,,,302,,,,,,,,
21565,533600,113.3 050.0,19-7807VA-HY-185-1837-11330500-0273A-3,273,8.08,34.207,1.5,26.644,22.6,65.25144,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.12,,49.0,,,9.0,31.1,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,273.0,8.08,8.05,34.207,26.64,143.7,0.63,1.5,22.6,49.0,2.12,31.1,,,,,274,,,,,,,,
9336,243687,106.7 060.0,19-5712ST-HY-353-1600-10670600-0105A-3,105,14.38,33.63,,25.053,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,105.0,14.38,14.36,33.63,25.05,292.9,0.35,,,,,,,,,,105,,,,,,,,
32839,824652,086.7 045.0,20-1110NM-MX-297-1037-08670450-0140A-3,140,8.78,34.079,1.79,26.434,27.4,77.88264,10.0,3,2.0,,3.0,,,,,,0.01,,0.05,,2.33,,37.4,,0.0,,29.9,,0.0,,,,9.0,,,9.0,,,9.0,,,9.0,,,140.0,8.78,8.77,34.079,26.434,161.2,0.272,1.79,27.4,37.4,2.33,29.9,0.0,0.0,0.01,0.05,141,210.0,,,,,,,
31727,795289,083.3 055.0,20-0804JD-MX-096-1440-08330550-0011A-3,11,11.73,33.734,5.97,25.657,97.3,259.9506,19.0,3,2.0,,3.0,,,,,,1.84,,0.46,,1.05,,7.8,,0.16,,10.1,,0.63,,,,9.0,,,9.0,,,9.0,,,9.0,,,11.0,11.73,11.73,33.734,25.657,232.5,0.026,5.97,97.3,7.8,1.05,10.1,0.16,0.63,1.84,0.46,11,219.0,,,,,,,
16503,426770,130.0 050.0,19-6907AX-HY-206-0925-13000500-0150A-7,150,10.19,33.814,1.87,25.997,29.5,81.39809,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,2.44,,33.8,,0.03,,26.2,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,10.19,10.17,33.814,25.99,203.3,0.4,1.87,29.5,33.8,2.44,26.2,0.03,,,,151,,,,,,,,
8386,219565,116.7 040.0,19-5606BD-HY-161-1136-11670400-0010A-3,10,16.36,33.64,5.58,24.621,100.0,243.2146,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,16.36,16.36,33.64,24.62,331.2,0.03,5.58,100.0,,,,,,,,10,,,,,,,,
28316,697776,093.3 090.0,19-9610RR-MX-288-1358-09330900-0500A-7,500,5.9,34.239,0.53,26.969,7.6,23.04821,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,3.03,,79.5,,0.0,,40.3,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.9,5.86,34.239,26.96,114.6,0.98,0.53,7.6,79.5,3.03,40.3,0.0,,,,503,,,,,,,,
33795,849203,083.3 060.0,20-1501NM-MX-026-0422-08330600-0039A-3,39,15.35,33.1017,5.825,24.4359,101.93,253.9393,17.0,3,2.0,,3.0,,,,,,0.356,,0.156,,0.36,,1.93,,0.019,,0.0,4.0,0.03,,,,9.0,,,9.0,,,9.0,,,9.0,,,39.0,15.35,15.34,33.102,24.436,349.8,0.138,5.83,101.9,1.9,0.36,0.0,0.02,0.03,0.36,0.16,39,17.0,,,,,,,
15047,401303,090.0 032.0,19-6612JD-HY-341-0630-09000320-0152A-3,152,9.48,33.996,2.79,26.258,43.4,121.4133,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,152.0,9.48,9.46,33.996,26.25,178.4,0.35,2.79,43.4,,,,,,,,153,,,,,,,,
29592,735956,080.0 080.0,20-0010NM-MX-301-2327-08000800-0229A-3,229,7.59,34.069,1.84,26.606,27.4,80.04473,6.0,3,2.0,,3.0,,,,,,,9.0,,9.0,2.46,,46.8,,0.0,,32.8,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,229.0,7.59,7.57,34.069,26.6,146.1,0.48,1.84,27.4,46.8,2.46,32.8,0.0,,,,230,206.0,,,,,,,
27503,673644,081.8 046.9,19-9308NM-MX-234-2207-08180469-0577A-3,577,6.38,34.228,0.03,26.901,0.4,1.304702,,3,2.0,,3.0,,,,,,,9.0,,9.0,3.52,,103.8,,0.12,,27.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,577.0,6.38,6.33,34.228,26.9,122.8,0.93,0.03,0.4,103.8,3.52,27.0,0.12,,,,581,,,,,,,,
12988,344148,080.0 055.0,19-6201HO-HY-014-1248-08000550-0200A-7,200,8.99,34.095,1.66,26.415,25.5,72.22771,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,8.99,8.97,34.095,26.41,164.4,0.44,1.66,25.5,,,,,,,,201,,,,,,,,
12386,326396,093.3 060.0,19-6010BD-HY-289-0018-09330600-0400A-7,400,6.39,34.222,0.77,26.893,11.2,33.48762,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,6.39,6.35,34.222,26.89,120.9,0.81,0.77,11.2,,,,,,,,402,,,,,,,,
24903,609237,086.7 037.5,19-8705JD-HY-126-2259-08670375-0661A-3,661,5.53,34.364,0.18,27.115,2.6,7.826582,,3,2.0,,3.0,,,,,,,9.0,,9.0,3.23,,94.4,,0.0,,40.7,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,661.0,5.53,5.47,34.364,27.11,102.5,1.01,0.18,2.6,94.4,3.23,40.7,0.0,,,,666,,,,,,,,
12539,330957,060.0 120.0,19-6101HO-HY-013-1348-06001200-2420A-3,2420,1.79,34.637,2.05,27.71,26.5,89.08447,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,2420.0,1.79,1.62,34.637,27.71,48.0,2.28,2.05,26.5,,,,,,,,2450,,,,,,,,
7344,189745,126.7 050.0,19-5502SB-HY-051-0742-12670500-0125A-7,125,10.88,34.031,2.01,26.046,32.2,87.48789,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,10.88,10.86,34.031,26.04,198.4,0.32,2.01,32.2,,,,,,,,126,,,,,,,,
28536,704564,093.3 070.0,19-9707JD-MX-184-0922-09330700-0378A-3,378,7.09,34.288,0.51,26.851,7.5,22.18102,3.0,3,2.0,,3.0,,,,,,,9.0,,9.0,3.04,,63.7,,0.0,,36.5,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,378.0,7.09,7.05,34.288,26.85,125.2,0.72,0.51,7.5,63.7,3.04,36.5,0.0,,,,380,203.0,,,,,,,
858,26439,102.0 103.0,19-4911CR-HY-320-0300-10201030-0213A-3,213,8.78,33.82,3.74,26.233,57.1,162.7587,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,1.7,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,213.0,8.78,8.76,33.82,26.23,181.8,0.61,3.74,57.1,,1.7,,,,,,214,,,,,,,,
19450,485481,063.3 055.0,19-7501AX-CT-046-1319-06330550-0010A-5,10,11.38,33.55,,25.579,,,,5,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,11.38,11.38,33.55,25.57,240.0,0.02,,,,,,,,,,10,,,,,,,,
33750,848121,063.3 055.0,20-1501NM-MX-035-1755-06330550-0125A-7,125,9.919,33.5806,3.68,25.86242,57.6,160.2055,,7,2.0,,3.0,6.0,,6.0,6.0,6.0,0.024,,0.08,,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,9.92,9.9,33.581,25.862,215.7,0.364,3.68,57.6,,,,,,0.02,0.08,126,,,,,,,,
11013,288042,050.0 085.0,19-5907OR-HY-207-1900-05000850-0229A-3,229,8.16,33.89,,26.382,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,229.0,8.16,8.14,33.89,26.38,167.6,0.66,,,,,,,,,,230,,,,,,,,
26731,653253,076.7 090.0,19-9101JD-HY-021-1439-07670900-0072A-3,72,11.85,32.932,5.86,25.013,95.3,255.3213,,3,2.0,,3.0,,,,,,0.15,,0.13,,0.69,,4.4,,0.04,,3.8,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,72.0,11.85,11.84,32.932,25.01,295.2,0.22,5.86,95.3,4.4,0.69,3.8,0.04,,0.15,0.13,72,,,,,,,,
11392,298062,110.0 070.0,19-5910OR-HY-292-0536-11000700-0000B-7,0,19.75,33.75,5.11,23.875,97.7,222.8911,,7,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,19.75,19.75,33.75,23.87,402.0,0.0,5.11,97.7,,,,,,,,0,,,,,,,,
20386,502995,091.0 029.0,19-7509JD-CT-262-0617-09100290-0175A-5,175,8.81,33.98,,26.353,,,,5,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,175.0,8.81,8.79,33.98,26.35,169.7,0.43,,,,,,,,,,176,,,,,,,,
7830,205167,070.0 052.0,19-5510BD-HY-293-1642-07000520-0075A-7,75,9.28,33.791,3.12,26.128,48.2,135.7912,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,9.28,9.27,33.791,26.12,189.0,0.17,3.12,48.2,,,,,,,,75,,,,,,,,
32967,827958,080.0 080.0,20-12035S-MX-095-2111-08000800-0101A-3,101,10.68,33.175,5.52,25.413,87.6,240.4136,11.0,3,2.0,,3.0,,,,,,0.08,,0.03,,0.8,,8.1,,0.02,,7.6,,0.06,,,,9.0,,,9.0,,,9.0,,,9.0,,,101.0,10.68,10.67,33.175,25.413,257.7,0.295,5.52,87.6,8.1,0.8,7.6,0.02,0.06,0.08,0.03,101,211.0,2055.21,,2208.0,,,,
7091,183708,093.3 030.0,19-5408SB-HY-251-2312-09330300-0094A-3,94,9.6,33.6,,25.927,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,94.0,9.6,9.59,33.6,25.92,208.6,0.28,,,,,,,,,,94,,,,,,,,
10498,273356,156.7 010.0,19-5901SB-HY-027-0612-15670100-0540A-3,540,6.86,34.55,0.13,27.091,1.9,5.652664,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,540.0,6.86,6.81,34.55,27.09,105.0,0.97,0.13,1.9,,,,,,,,543,,,,,,,,
20881,513933,096.7 040.0,19-7712JD-HY-346-1714-09670400-0139A-3,139,10.25,33.795,3.38,25.972,53.4,147.1296,,3,2.0,,3.0,,9.0,,,,0.0,,0.0,,1.18,,18.0,,,9.0,17.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,139.0,10.25,10.23,33.795,25.97,205.5,0.39,3.38,53.4,18.0,1.18,17.0,,,0.0,0.0,140,,,,,,,,
15475,409515,140.0 095.0,19-6804JD-HY-116-1554-14000950-0100A-7,100,13.89,33.948,3.27,25.401,55.8,142.4206,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,1.63,,12.3,,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,100.0,13.89,13.88,33.948,25.4,259.6,0.34,3.27,55.8,12.3,1.63,,,,,,100,,,,,,,,
30800,770213,076.7 055.0,20-0504NM-MX-120-0821-07670550-0085A-3,85,10.08,33.604,4.03,25.85,63.3,175.4446,12.0,3,2.0,,3.0,,,,,,0.24,,0.46,,1.67,,19.3,,0.15,,19.1,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,85.0,10.08,10.07,33.604,25.85,215.8,0.219,4.03,63.3,19.3,1.67,19.1,0.15,,0.24,0.46,85,12.0,,,,,,,
8609,225393,110.0 050.0,19-5701OR-HY-017-0236-11000500-0070A-3,70,16.79,33.64,6.55,24.523,118.3,285.5212,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,70.0,16.79,16.78,33.64,24.52,342.5,0.24,6.55,118.3,,,,,,,,70,,,,,,,,
5504,146051,120.0 045.0,19-5303SB-HY-092-1430-12000450-0198A-3,198,10.82,34.53,0.52,26.447,8.3,22.62484,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,198.0,10.82,10.8,34.53,26.44,162.1,0.44,0.52,8.3,,,,,,,,199,,,,,,,,
12044,316635,066.7 070.0,19-6004HO-HY-104-0736-06670700-0250A-7,250,7.4,34.093,1.5,26.652,22.2,65.25093,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,7.4,7.38,34.093,26.65,142.0,0.5,1.5,22.2,,,,,,,,252,,,,,,,,
33348,837838,081.7 043.5,20-1307NM-MX-197-0303-08170435-0010A-7,10,14.214,33.5728,5.237,25.04091,89.82,228.1708,,7,2.0,,3.0,6.0,,6.0,,6.0,5.353,,1.431,,0.63,,12.5,,0.16,,1.2,,0.24,,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,14.21,14.21,33.573,25.041,291.2,0.034,5.24,89.8,12.5,0.63,1.2,0.16,0.24,5.35,1.43,10,,,,,,,,
24853,607956,047.5 055.7,19-8705NM-CT-125-0101-04750557-0200A-5,200,6.74,34.027,,26.69,,,,5,3.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,6.74,6.72,34.027,26.69,137.3,0.35,,,,,,,,,,201,,,,,,,,
17052,435579,073.3 070.0,19-6910JD-HY-292-1635-07330700-0153A-3,153,8.36,33.931,,26.383,,,,3,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,153.0,8.36,8.34,33.931,26.38,166.2,0.37,,,,,,,,,,154,,,,,,,,
14945,398476,093.3 028.0,19-6610JD-HY-285-2054-09330280-0000B-3,0,19.48,33.59,,23.823,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,19.48,19.48,33.59,23.82,407.0,0.0,,,,,,,,,,0,,,,,,,,
26126,636855,093.3 100.0,19-8904JD-HY-109-1145-09331000-0020A-7,20,15.48,33.102,5.95,24.406,104.4,259.3962,,7,2.0,,3.0,,9.0,,,,0.07,,0.02,,0.38,,2.0,,0.0,,0.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,15.48,15.48,33.102,24.4,352.0,0.07,5.95,104.4,2.0,0.38,0.0,0.0,,0.07,0.02,20,,,,,,,,
32749,822323,081.8 046.9,20-1108NM-MX-220-2120-08180469-0150A-7,150,9.26,34.204,1.12,26.456,17.3,48.73,,7,2.0,6.0,3.0,6.0,9.0,6.0,,,0.99,,0.45,,2.5,,40.6,,0.0,,30.4,,0.03,,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,9.26,9.24,34.204,26.456,159.5,0.305,1.12,17.3,40.6,2.5,30.4,0.0,0.03,0.99,0.45,151,,,,,,,,
31671,793775,090.0 045.0,20-0801JD-PR-013-1742-09000450-0229A-3,229,8.75,34.153,1.68,26.498,25.7,73.092,6.0,3,2.0,,3.0,,,,,,,9.0,,9.0,2.31,,38.2,,0.0,,29.6,,0.0,,,,9.0,,,9.0,,,9.0,,,9.0,,,229.0,8.75,8.73,34.153,26.498,156.9,0.478,1.68,25.7,38.2,2.31,29.6,0.0,0.0,,,230,206.0,,,,,,,
3301,98121,120.0 080.0,19-5109CR-HY-244-0936-12000800-0030A-7,30,18.23,33.507,5.38,24.073,99.9,234.6227,,7,3.0,,3.0,,9.0,,,,,9.0,,9.0,0.45,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,18.23,18.23,33.507,24.07,384.2,0.12,5.38,99.9,,0.45,,,,,,30,,,,,,,,
25426,622789,076.7 060.0,19-8805JD-HY-132-1318-07670600-0300A-7,300,6.6,34.069,1.73,26.743,25.2,75.2494,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,58.9,,0.01,,35.7,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,6.6,6.57,34.069,26.74,133.7,0.56,1.73,25.2,58.9,,35.7,0.01,,,,302,,,,,,,,
13213,351377,093.3 060.0,19-6207BD-HY-196-2254-09330600-0500A-7,500,6.09,34.307,0.31,26.999,4.5,13.48064,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,6.09,6.05,34.307,26.99,112.0,0.77,0.31,4.5,,,,,,,,503,,,,,,,,
30479,761532,086.7 090.0,20-0401JD-MX-014-0212-08670900-0002A-3,2,15.15,32.649,5.83,24.128,101.3,254.2336,20.0,3,2.0,,3.0,,,,,,0.17,,0.05,,0.36,,1.3,,0.0,,0.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,2.0,15.15,15.15,32.649,24.12,377.9,0.008,5.83,101.3,1.3,0.36,0.0,0.0,,0.17,0.05,2,220.0,,,,,,,
15194,404395,106.7 060.0,19-6707EB-CT-190-2048-10670600-0250A-5,250,8.48,34.05,,26.46,,,,5,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.48,8.45,34.05,26.46,160.8,0.64,,,,,,,,,,251,,,,,,,,
13241,352173,123.3 042.0,19-6207BD-HY-207-0848-12330420-0063A-3,63,12.64,33.587,,25.371,,,,3,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,63.0,12.64,12.63,33.587,25.37,261.1,0.19,,,,,,,,,,63,,,,,,,,
30428,760063,080.0 055.0,20-0310NM-MX-304-2206-08000550-0268A-3,268,8.84,34.201,1.38,26.523,21.2,60.0384,5.0,3,2.0,,3.0,,,,,,,9.0,,9.0,2.52,,41.4,,0.01,,30.7,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,268.0,8.84,8.81,34.201,26.52,155.5,0.57,1.38,21.2,41.4,2.52,30.7,0.01,,,,270,205.0,,,,,,,
1573,48694,076.7 065.0,19-5007CR-HY-190-0436-07670650-0024A-3,24,14.13,33.21,5.47,24.778,93.4,238.3835,,3,2.0,,2.0,,9.0,,,,,9.0,,9.0,0.76,,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,24.0,14.13,14.13,33.21,24.77,316.6,0.07,5.47,93.4,,0.76,,,,,,24,,,,,,,,
31268,783000,090.0 037.0,20-0610RR-MX-300-0423-09000370-0050A-7,50,13.07,33.388,4.96,25.132,83.0,216.083,,7,2.0,,3.0,,9.0,,,,0.62,,0.31,,0.77,,7.2,,0.19,,5.9,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,13.07,13.06,33.388,25.13,283.5,0.17,4.96,83.0,7.2,0.77,5.9,0.19,,0.62,0.31,50,,,,,,,,
27501,673585,083.3 040.6,19-9308NM-MX-234-1507-08330406-0000B-7,0,18.25,33.35,5.97,23.95,110.7,260.384,,7,2.0,,3.0,,,,,,0.52,,0.11,,0.14,,1.2,,0.0,,0.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,18.25,18.25,33.35,23.95,394.3,0.0,5.97,110.7,1.2,0.14,0.0,0.0,,0.52,0.11,0,,,,,,,,
33828,850108,090.0 120.0,20-1501NM-MX-019-0950-09001200-0170A-3,170,9.319,33.5795,4.154,25.96133,64.15,180.8232,8.0,3,2.0,,3.0,,,,,,0.009,,0.026,,1.52,,19.81,,0.013,,19.54,,0.01,,,,9.0,,,9.0,,,9.0,,,9.0,,,170.0,9.32,9.3,33.58,25.961,207.1,0.549,4.15,64.2,19.8,1.52,19.5,0.01,0.01,0.01,0.03,171,8.0,,,,,,,
20139,499240,103.3 090.0,19-7507AX-CT-181-1030-10330900-0250A-5,250,9.19,34.03,,26.333,,,,5,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,9.19,9.16,34.03,26.33,173.2,0.66,,,,,,,,,,251,,,,,,,,
13349,355227,100.0 070.0,19-6210AX-HY-309-0400-10000700-0030A-3,30,16.63,33.467,5.76,24.426,103.6,251.108,,3,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,0.0,,0.01,,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,16.63,16.63,33.467,24.42,350.4,0.1,5.76,103.6,0.0,,,0.01,,,,30,,,,,,,,
4493,125118,070.0 090.0,19-5206SB-HY-163-2030-07000900-0781A-3,781,4.5,34.38,0.41,27.247,5.7,17.82492,,3,1.0,,2.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,781.0,4.5,4.4,34.38,27.24,89.8,1.18,0.41,5.7,,,,,,,,787,,,,,,,,
15309,406546,110.0 035.0,19-6712HO-HY-353-1318-11000350-0600A-7,600,5.89,34.359,0.31,27.067,4.4,13.47974,,7,2.0,,3.0,,9.0,,,,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,5.89,5.84,34.359,27.06,106.8,1.01,0.31,4.4,,,,,,,,604,,,,,,,,
20784,510904,098.0 055.5,19-7604AX-CT-115-0445-09800555-0175A-5,175,9.33,33.95,,26.246,,,,5,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,175.0,9.33,9.31,33.95,26.24,179.9,0.44,,,,,,,,,,176,,,,,,,,
7055,182713,110.0 033.0,19-5408CR-HY-241-1736-11000330-0010A-3,10,20.11,33.61,,23.675,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,20.11,20.11,33.61,23.67,421.5,0.04,,,,,,,,,,10,,,,,,,,
